Name,Dolphin Number,Pier Number,Traffic Factor,Center X (Longitude),Center Y (Latitude),Center to center length (m),Diameter (m)
DULUTH LIFT BRIDGE (MN),NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOHN A BLATNIK BRIDGE (MN-WI),1,1,0.5,-92.101879,46.7498871,41.59938241,5
JOHN A BLATNIK BRIDGE (MN-WI),2,1,0.5,-92.1016667,46.7497222,21.16537783,5
JOHN A BLATNIK BRIDGE (MN-WI),3,1,0.5,-92.1011111,46.7497222,21.16537783,5
JOHN A BLATNIK BRIDGE (MN-WI),4,2,0.5,-92.1008333,46.7483333,42.32422732,5
JOHN A BLATNIK BRIDGE (MN-WI),5,2,0.5,-92.1005556,46.7483333,21.16592322,5
JOHN A BLATNIK BRIDGE (MN-WI),6,2,0.5,-92.1002778,46.7486111,30.88995062,5
DELAWARE MEMORIAL BRIDGE (DE-NJ),NaN,NaN,NaN,NaN,NaN,NaN,NaN
TALMADGE MEMORIAL BRIDGE (GA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
DAMES POINT BRIDGE (FL),1,1,0.5,-81.558105,30.386265,48.87305425,19
DAMES POINT BRIDGE (FL),2,1,0.5,-81.55715,30.386098,54.03159413,19
VINCENT THOMAS BRIDGE (CA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
RAINBOW BRIDGE (TX),1,1,0.5,-93.871815,29.981321,36.09066863,15.25
RAINBOW BRIDGE (TX),2,1,0.5,-93.871096,29.981214,40.67290901,15.25
RAINBOW BRIDGE (TX),3,2,0.5,-93.872114,29.97974,34.1370629,15.25
RAINBOW BRIDGE (TX),4,2,0.5,-93.871404,29.979645,41.20786314,15.25
VETRANS MEMORIAL BRIDGE (TX),1,1,0.5,-93.870434,29.981121,26.19306658,16.5
VETRANS MEMORIAL BRIDGE (TX),2,1,0.5,-93.869889,29.981121,26.93067247,16.5
VETRANS MEMORIAL BRIDGE (TX),3,2,0.5,-93.870713,29.979552,24.81131106,16.5
VETRANS MEMORIAL BRIDGE (TX),4,2,0.5,-93.870179,29.979464,31.42691231,16.5
GULFGATE BRIDGE (TX),1,1,0.5,-93.945545,29.853613,40.1792723,15
GULFGATE BRIDGE (TX),2,1,0.5,-93.945083,29.854092,38.60390391,15
GULFGATE BRIDGE (TX),3,2,0.5,-93.944269,29.852661,42.51389195,15
GULFGATE BRIDGE (TX),4,2,0.5,-93.943806,29.853155,40.11048103,15
BAYONNE BRIDGE (NY-NJ),1,1,1,-74.144076,40.639726,91.59903152,9
VERRAZZANO NARROWS BRIDGE (NY),NaN,NaN,NaN,NaN,NaN,NaN,NaN
GOLDEN GATE BRIDGE (CA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
SAN FRANCISCO OAKLAND BAY BRIDGE (CA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
HUEY P LONG BRIDGE (LA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRESCENT CITY CONNECTION GREATER NEW ORLEANS BRIDGE (LA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
HALE BOGGS MEMORIAL BRIDGE (LA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
HORACE WILKINSON BRIDGE (LA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
SUNSHINE BRIDGE (LA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRAMERCY BRIDGE (LA),NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRED HARTMAN BRIDGE (TX),NaN,NaN,NaN,NaN,NaN,NaN,NaN
TEXAS BELTWAY 8 BRIDGE (TX),NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHESAPEAKE BAY BRIDGE (MD),NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRANCIS SCOTT KEY BRIDGE (MD),1,1,0.5,-76.530808,39.216988,152.864293,8.5
FRANCIS SCOTT KEY BRIDGE (MD),2,1,0.5,-76.5288639,39.2151423,112.5760037,9.5
FRANCIS SCOTT KEY BRIDGE (MD),3,2,0.5,-76.527952,39.219175,144.4267856,8.5
FRANCIS SCOTT KEY BRIDGE (MD),4,2,0.5,-76.5260523,39.2173809,114.4720297,8.5